movie_code,title,audience,recorded_at
20181877,캡틴 마블,5796057,20190505
20196601,항거:유관순 이야기,1042049,20190310
20177539,사바하,2340525,20190310
20185881,증인,2457291,20190310
20182530,극한직업,16178547,20190310
20184574,그린 북,372293,20190310
20180937,더 페이버릿: 여왕의 여자,133508,20190310
20177282,리노,16489,20190310
20176442,자전차왕 엄복동,168884,20190310
20195743,신데렐라:마법 반지의 비밀,281705,20190310
20197283,이스케이프 룸,389570,20190317
20176103,돈,75464,20190317
20197356,라스트 미션,64302,20190317
20196723,숲속왕국의 꿀벌 여왕,18305,20190317
20197846,악질경찰,189604,20190324
20175407,우상,137880,20190324
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,24340,20190324
20197617,정글북: 마법 원정대,22534,20190324
20185352,어스,936427,20190331
20196025,덤보,212836,20190331
20183773,장난스런 키스,172939,20190331
20166301,썬키스 패밀리,26086,20190331
20197483,1919 유관순,46858,20190331
20198146,콜레트,22341,20190331
20196244,샤잠!,500650,20190407
20183096,생일,375445,20190407
20197092,로망,46938,20190407
20198104,바이스,9652,20190407
20185406,헬보이,220243,20190414
20180825,미성년,141588,20190414
20197423,공포의 묘지,87134,20190414
20198403,파이브 피트,67395,20190414
20183454,요로나의 저주,161060,20190421
20198982,크게 될 놈,62272,20190421
20182501,왓칭,46139,20190421
20198844,아이 엠 마더,83953,20190421
20184889,어벤져스: 엔드게임,6308055,20190428
20198183,뽀로로 극장판 보물섬 대모험,275016,20190428
19990220,노팅 힐,49958,20190428
20185784,나의 특별한 형제,660863,20190505
20198598,명탐정 피카츄,119718,20190505
20197147,어글리 돌,37541,20190505
20169323,안도 타다오,18101,20190505
20060347,판의 미로 - 오필리아와 세 개의 열쇠,482423,20190505
20199736,프렌즈: 둥지탈출,10178,20190505
20184082,걸캅스,591974,20190512
20185384,호텔 뭄바이,37029,20190512
20188941,악인전,21280,20190512
20187981,배심원들,23716,20190512
